Species,Sex,Abd_length
AL,F,0.0985
AL,M,0.0985
AL,F,0.0985
AL,M,0.0985
CQ,F,0.0985
AG,M,0.0986
AG,M,0.0986
AG,M,0.0986
AG,M,0.0986
AL,F,0.0986
AL,M,0.0986
AL,F,0.0986
AL,F,0.0986
AG,M,0.0987
AG,F,0.0987
AG,M,0.0987
AL,M,0.0987
AL,F,0.0987
AL,F,0.0987
AG,M,0.0988
AG,UNK,0.0988
AG,F,0.0988
AG,M,0.0988
AL,F,0.0988
AL,F,0.0988
AL,F,0.0988
AL,M,0.0988
AL,F,0.0988
AL,M,0.0988
AL,F,0.0988
AL,F,0.0988
AG,M,0.0989
AG,M,0.0989
AG,F,0.0989
AL,F,0.0989
AL,M,0.0989
AL,M,0.0989
CQ,UNK,0.0989
CQ,F,0.0989
AG,M,0.099
AG,F,0.099
AG,F,0.099
AG,M,0.099
AG,F,0.099
AG,M,0.099
AL,F,0.099
AL,F,0.099
AL,F,0.099
AL,F,0.099
AL,M,0.099
CQ,F,0.099
CQ,F,0.099
CQ,F,0.099
AG,M,0.0991
AG,M,0.0991
AG,M,0.0991
AG,M,0.0991
AL,M,0.0991
AL,M,0.0991
AL,M,0.0991
AL,M,0.0991
AL,M,0.0991
CQ,F,0.0991
AG,F,0.0992
AG,M,0.0992
AG,M,0.0992
AG,M,0.0992
AG,M,0.0992
AG,M,0.0992
AG,F,0.0992
AL,M,0.0992
AL,M,0.0992
AL,F,0.0992
AL,F,0.0992
AL,M,0.0992
AL,F,0.0992
AL,M,0.0992
AG,M,0.0993
AG,F,0.0993
AL,M,0.0993
AL,M,0.0993
AL,M,0.0993
AL,F,0.0993
CQ,F,0.0993
AG,M,0.0994
AG,F,0.0994
AG,M,0.0994
AG,M,0.0994
AG,M,0.0994
AG,M,0.0994
AL,M,0.0994
AL,M,0.0994
AL,M,0.0994
AL,F,0.0994
AL,F,0.0994
CQ,M,0.0994
CQ,M,0.0994
AG,M,0.0995
AG,M,0.0995
AG,F,0.0995
AG,F,0.0995
AG,F,0.0995
AG,F,0.0995
AG,M,0.0995
AL,M,0.0995
AL,F,0.0995
AL,M,0.0995
AG,M,0.0996
AG,M,0.0996
AG,F,0.0996
AG,M,0.0996
AG,M,0.0996
AL,M,0.0996
AL,M,0.0996
AL,F,0.0996
AL,M,0.0996
AL,M,0.0996
AG,F,0.0997
AG,F,0.0997
AG,F,0.0997
AG,M,0.0997
AL,M,0.0997
AL,M,0.0997
AL,F,0.0997
AL,F,0.0997
AG,M,0.0998
AG,M,0.0998
AG,M,0.0998
AL,M,0.0998
AL,F,0.0998
AL,M,0.0998
AL,M,0.0998
AL,M,0.0998
AL,F,0.0998
AL,M,0.0998
AL,M,0.0998
AG,M,0.0999
AG,M,0.0999
AG,F,0.0999
AG,F,0.0999
AG,M,0.0999
AL,F,0.0999
AL,M,0.0999
AL,M,0.0999
AL,M,0.0999
AG,M,0.1
AG,M,0.1
AG,M,0.1
AG,M,0.1
AG,M,0.1
AG,M,0.1
AL,F,0.1
AL,M,0.1
AL,F,0.1
AL,M,0.1
AL,M,0.1
CQ,F,0.1
CQ,F,0.1
AG,F,0.1001
AG,M,0.1001
AG,M,0.1001
AG,F,0.1001
AG,F,0.1001
AG,M,0.1001
AL,M,0.1001
AL,F,0.1001
AL,M,0.1001
AL,F,0.1001
AL,F,0.1001
CQ,F,0.1001
AG,M,0.1002
AG,M,0.1002
AG,M,0.1002
AL,M,0.1002
CQ,M,0.1002
CQ,M,0.1002
CQ,M,0.1002
CQ,F,0.1002
AG,F,0.1003
AG,M,0.1003
AL,M,0.1003
AL,M,0.1003
CQ,F,0.1003
CQ,F,0.1003
CQ,UNK,0.1003
AG,M,0.1004
AG,M,0.1004
AG,M,0.1004
AG,M,0.1004
AG,M,0.1004
AG,F,0.1004
AG,M,0.1004
AL,F,0.1004
AL,M,0.1004
AL,M,0.1004
CQ,M,0.1004
CQ,F,0.1004
AG,F,0.1005
AG,M,0.1005
AL,M,0.1005
AL,M,0.1005
AL,M,0.1005
AL,F,0.1005
AL,M,0.1005
AL,M,0.1005
CQ,M,0.1005
AG,M,0.1006
AG,M,0.1006
AG,M,0.1006
AG,M,0.1006
AL,F,0.1006
AL,M,0.1006
AL,M,0.1006
CQ,F,0.1006
AG,F,0.1007
AG,M,0.1007
AG,M,0.1007
AG,M,0.1007
AG,M,0.1007
AL,M,0.1007
AL,M,0.1007
AL,M,0.1007
CQ,F,0.1007
CQ,F,0.1007
CQ,F,0.1007
AG,M,0.1008
AG,M,0.1008
AG,F,0.1008
AL,F,0.1008
AL,M,0.1008
AL,F,0.1008
AL,M,0.1008
CQ,F,0.1008
CQ,F,0.1008
CQ,F,0.1008
AG,M,0.1009
AG,M,0.1009
AG,F,0.1009
AG,M,0.1009
AL,M,0.1009
AL,M,0.1009
AL,M,0.1009
AL,F,0.1009
AL,F,0.1009
AL,M,0.1009
CQ,M,0.1009
AG,M,0.101
AG,M,0.101
AG,M,0.101
AG,F,0.101
AG,F,0.101
AG,F,0.101
AL,M,0.101
AL,F,0.101
AL,M,0.101
AL,M,0.101
AL,F,0.101
AL,M,0.101
AL,F,0.101
AL,F,0.101
AL,F,0.101
AL,M,0.101
CQ,M,0.101
AG,M,0.1011
AG,F,0.1011
AG,M,0.1011
AG,F,0.1011
AG,F,0.1011
AL,M,0.1011
AL,F,0.1011
AL,F,0.1011
AL,F,0.1011
AL,M,0.1011
AL,F,0.1011
AL,M,0.1011
CQ,M,0.1011
AG,M,0.1012
AG,F,0.1012
AG,M,0.1012
AG,F,0.1012
CQ,F,0.1012
CQ,F,0.1012
CQ,F,0.1012
AG,F,0.1013
AG,F,0.1013
AG,M,0.1013
AG,M,0.1013
AG,M,0.1013
AL,F,0.1013
AL,M,0.1013
AL,M,0.1013
AL,F,0.1013
AL,M,0.1013
AL,M,0.1013
AG,M,0.1014
AG,M,0.1014
AG,M,0.1014
AG,F,0.1014
AL,M,0.1014
AL,M,0.1014
AL,M,0.1014
AL,F,0.1014
AL,M,0.1014
AL,M,0.1014
CQ,F,0.1014
AG,M,0.1015
AG,M,0.1015
AG,M,0.1015
AG,M,0.1015
AG,M,0.1015
AG,F,0.1015
AG,M,0.1015
AG,F,0.1015
AL,UNK,0.1015
AL,F,0.1015
AL,M,0.1015
AL,M,0.1015
CQ,M,0.1015
CQ,F,0.1015
AG,F,0.1016
AG,M,0.1016
CQ,F,0.1016
CQ,M,0.1016
CQ,F,0.1016
AG,M,0.1017
AG,M,0.1017
AG,F,0.1017
AG,F,0.1017
AG,M,0.1017
AG,M,0.1017
AG,M,0.1017
AG,F,0.1017
AL,F,0.1017
AL,M,0.1017
AL,F,0.1017
AL,F,0.1017
AL,M,0.1017
AG,M,0.1018
AG,M,0.1018
AG,M,0.1018
AG,F,0.1018
AG,F,0.1018
AG,M,0.1018
AG,F,0.1018
AG,M,0.1018
AL,M,0.1018
AL,M,0.1018
AL,F,0.1018
AL,M,0.1018
AL,M,0.1018
CQ,F,0.1018
AG,M,0.1019
AG,F,0.1019
AG,F,0.1019
AG,M,0.1019
AG,F,0.1019
AL,F,0.1019
CQ,F,0.1019
CQ,F,0.1019
CQ,F,0.1019
CQ,F,0.1019
AG,F,0.102
AG,M,0.102
AG,F,0.102
AG,M,0.102
AG,M,0.102
AG,F,0.102
AG,F,0.102
AL,M,0.102
AL,F,0.102
AL,M,0.102
AL,F,0.102
AL,M,0.102
AL,M,0.102
CQ,M,0.102
AG,M,0.1021
AG,M,0.1021
AG,F,0.1021
AG,M,0.1021
AL,F,0.1021
AL,F,0.1021
AL,M,0.1021
CQ,M,0.1021
CQ,M,0.1021
AG,F,0.1022
AG,M,0.1022
AG,M,0.1022
AG,F,0.1022
AG,F,0.1022
AG,F,0.1022
AG,M,0.1022
AG,M,0.1022
AG,F,0.1022
AL,M,0.1022
AL,M,0.1022
AL,F,0.1022
AL,M,0.1022
CQ,M,0.1022
AG,M,0.1023
AG,M,0.1023
AG,M,0.1023
AG,M,0.1023
AG,M,0.1023
AG,F,0.1023
AL,M,0.1023
AL,F,0.1023
AL,F,0.1023
AG,M,0.1024
AG,M,0.1024
AG,M,0.1024
AG,F,0.1024
AL,M,0.1024
AL,M,0.1024
AL,F,0.1024
AL,M,0.1024
AL,M,0.1024
CQ,F,0.1024
CQ,F,0.1024
AG,F,0.1025
AG,M,0.1025
AG,M,0.1025
AG,M,0.1025
AG,F,0.1025
AG,M,0.1025
AG,M,0.1025
AG,M,0.1025
AL,M,0.1025
AL,M,0.1025
AL,M,0.1025
AL,M,0.1025
AL,F,0.1025
CQ,F,0.1025
AG,M,0.1026
AG,M,0.1026
AG,M,0.1026
AG,F,0.1026
AL,M,0.1026
CQ,F,0.1026
AG,M,0.1027
AG,F,0.1027
AG,F,0.1027
AG,F,0.1027
AG,M,0.1027
AG,M,0.1027
AL,F,0.1027
AL,F,0.1027
AL,M,0.1027
AL,F,0.1027
AG,M,0.1028
AG,M,0.1028
AG,M,0.1028
AG,M,0.1028
AL,M,0.1028
AL,UNK,0.1028
AL,M,0.1028
AL,M,0.1028
CQ,M,0.1028
AG,M,0.1029
AG,F,0.1029
AG,M,0.1029
AL,M,0.1029
AL,M,0.1029
CQ,M,0.1029
CQ,M,0.1029
AG,M,0.103
AG,M,0.103
AG,M,0.103
AG,M,0.103
AG,M,0.103
AG,M,0.103
AL,M,0.103
AL,M,0.103
CQ,M,0.103
CQ,F,0.103
CQ,M,0.103
AG,F,0.1031
AG,M,0.1031
AG,M,0.1031
AG,M,0.1031
AG,M,0.1031
AG,M,0.1031
AL,M,0.1031
AL,M,0.1031
CQ,F,0.1031
CQ,F,0.1031
AG,F,0.1032
AG,F,0.1032
AG,F,0.1032
AG,M,0.1032
AG,M,0.1032
AG,F,0.1032
AG,F,0.1032
AG,F,0.1032
AG,M,0.1032
AG,M,0.1032
AG,F,0.1032
AL,M,0.1032
AL,F,0.1032
AL,M,0.1032
AL,M,0.1032
AL,M,0.1032
CQ,M,0.1032
CQ,F,0.1032
AG,F,0.1033
AG,F,0.1033
AL,F,0.1033
CQ,M,0.1033
CQ,F,0.1033
AG,F,0.1034
AG,M,0.1034
AL,F,0.1034
AL,M,0.1034
AL,M,0.1034
AL,F,0.1034
CQ,M,0.1034
CQ,F,0.1034
AG,M,0.1035
AG,M,0.1035
AG,M,0.1035
AG,M,0.1035
AL,M,0.1035
CQ,F,0.1035
AG,M,0.1036
AG,M,0.1036
AG,M,0.1036
AG,F,0.1036
AL,M,0.1036
AG,F,0.1037
AG,M,0.1037
AL,F,0.1037
AL,M,0.1037
AL,M,0.1037
AL,M,0.1037
AG,M,0.1038
AG,M,0.1038
AG,M,0.1038
AL,M,0.1038
CQ,F,0.1038
CQ,M,0.1038
CQ,M,0.1038
CQ,F,0.1038
AG,M,0.1039
AG,M,0.1039
AL,F,0.1039
AL,M,0.1039
AL,M,0.1039
AL,M,0.1039
AL,M,0.1039
CQ,F,0.1039
AG,F,0.104
AG,F,0.104
AG,M,0.104
AG,M,0.104
AG,M,0.104
AG,F,0.104
AG,M,0.104
AL,F,0.104
AL,M,0.104
AL,M,0.104
AL,F,0.104
AG,F,0.1041
AG,M,0.1041
AG,F,0.1041
AG,M,0.1041
AL,M,0.1041
AL,F,0.1041
AL,M,0.1041
AL,M,0.1041
CQ,M,0.1041
CQ,M,0.1041
AG,F,0.1042
AG,F,0.1042
AG,M,0.1042
AG,F,0.1042
AG,M,0.1042
AG,M,0.1042
AG,M,0.1042
AG,M,0.1042
AG,F,0.1042
AG,M,0.1042
AL,M,0.1042
AL,M,0.1042
AL,M,0.1042
AL,M,0.1042
CQ,M,0.1042
CQ,F,0.1042
CQ,M,0.1042
CQ,M,0.1042
AG,M,0.1043
AG,M,0.1043
AG,F,0.1043
AG,M,0.1043
AG,F,0.1043
AL,M,0.1043
AL,M,0.1043
AL,F,0.1043
CQ,M,0.1043
CQ,F,0.1043
CQ,M,0.1043
CQ,F,0.1043
AG,M,0.1044
AG,M,0.1044
AG,F,0.1044
AL,M,0.1044
AL,M,0.1044
AL,M,0.1044
AL,M,0.1044
AL,F,0.1044
AL,F,0.1044
CQ,F,0.1044
CQ,M,0.1044
AG,F,0.1045
AG,F,0.1045
AL,M,0.1045
AL,F,0.1045
AL,M,0.1045
AL,M,0.1045
AL,M,0.1045
CQ,F,0.1045
CQ,F,0.1045
AG,F,0.1046
AG,F,0.1046
AG,F,0.1046
AG,M,0.1046
AG,F,0.1046
AL,F,0.1046
AL,M,0.1046
AL,M,0.1046
AL,F,0.1046
AL,M,0.1046
AL,M,0.1046
AL,F,0.1046
CQ,F,0.1046
AG,F,0.1047
AG,M,0.1047
AG,F,0.1047
AG,F,0.1047
AL,F,0.1047
AL,M,0.1047
AG,F,0.1048
AG,M,0.1048
AG,M,0.1048
AL,M,0.1048
AL,M,0.1048
AL,F,0.1048
AG,M,0.1049
AG,M,0.1049
AL,M,0.1049
AL,M,0.1049
AL,F,0.1049
CQ,F,0.1049
CQ,F,0.1049
CQ,M,0.1049
CQ,F,0.1049
AG,M,0.105
AG,F,0.105
AG,F,0.105
AG,F,0.105
AG,M,0.105
AG,M,0.105
AL,M,0.105
AL,F,0.105
AL,M,0.105
AL,M,0.105
AL,M,0.105
AL,M,0.105
CQ,M,0.105
AG,M,0.1051
AG,F,0.1051
AG,F,0.1051
AL,M,0.1051
AL,M,0.1051
AL,F,0.1051
CQ,M,0.1051
CQ,M,0.1051
AG,M,0.1052
AG,M,0.1052
AG,M,0.1052
AG,M,0.1052
AG,M,0.1052
AG,F,0.1052
AG,F,0.1052
AL,M,0.1052
AL,M,0.1052
AL,M,0.1052
AL,M,0.1052
CQ,F,0.1052
CQ,F,0.1052
CQ,UNK,0.1052
AG,M,0.1053
AG,M,0.1053
AG,M,0.1053
AG,F,0.1053
AL,M,0.1053
AL,M,0.1053
AL,M,0.1053
AL,F,0.1053
AL,M,0.1053
AL,F,0.1053
AL,M,0.1053
AL,F,0.1053
CQ,F,0.1053
CQ,F,0.1053
AG,M,0.1054
AG,M,0.1054
AG,M,0.1054
AG,F,0.1054
AG,F,0.1054
AL,F,0.1054
AL,M,0.1054
AL,M,0.1054
AL,F,0.1054
CQ,F,0.1054
CQ,F,0.1054
AG,M,0.1055
AG,F,0.1055
AG,F,0.1055
AL,M,0.1055
CQ,F,0.1055
CQ,F,0.1055
AG,M,0.1056
AG,M,0.1056
AG,F,0.1056
AG,F,0.1056
AG,F,0.1056
CQ,M,0.1056
AG,M,0.1057
AG,M,0.1057
AG,M,0.1057
AL,M,0.1057
AL,M,0.1057
AL,F,0.1057
AL,F,0.1057
AL,F,0.1057
CQ,M,0.1057
CQ,M,0.1057
CQ,F,0.1057
AG,M,0.1058
AG,F,0.1058
AG,M,0.1058
AG,M,0.1058
AG,M,0.1058
AG,M,0.1058
AG,M,0.1058
AL,M,0.1058
AL,M,0.1058
CQ,F,0.1058
CQ,M,0.1058
CQ,M,0.1058
AG,M,0.1059
AG,M,0.1059
AG,M,0.1059
AL,F,0.1059
CQ,F,0.1059
CQ,F,0.1059
AG,M,0.106
AG,M,0.106
AG,M,0.106
AG,M,0.106
AG,M,0.106
AG,M,0.106
AG,M,0.106
AG,F,0.106
AG,M,0.106
AG,M,0.106
AG,M,0.106
AL,F,0.106
AL,M,0.106
AL,M,0.106
AL,M,0.106
AL,M,0.106
AL,M,0.106
AL,M,0.106
AL,M,0.106
CQ,M,0.106
AG,M,0.1061
AG,F,0.1061
AL,M,0.1061
AL,M,0.1061
AL,F,0.1061
AL,M,0.1061
CQ,F,0.1061
CQ,F,0.1061
AG,M,0.1062
AG,M,0.1062
AG,F,0.1062
AL,M,0.1062
AL,M,0.1062
AL,M,0.1062
CQ,M,0.1062
AG,F,0.1063
AG,M,0.1063
AG,F,0.1063
AG,M,0.1063
AG,M,0.1063
AG,F,0.1063
AL,M,0.1063
AL,F,0.1063
AL,M,0.1063
AL,F,0.1063
CQ,M,0.1063
AG,F,0.1064
AG,M,0.1064
AG,M,0.1064
AL,F,0.1064
AL,F,0.1064
AL,M,0.1064
AL,M,0.1064
AL,M,0.1064
AL,M,0.1064
CQ,M,0.1064
CQ,F,0.1064
AG,M,0.1065
AG,M,0.1065
AG,M,0.1065
AG,M,0.1065
AG,M,0.1065
AG,M,0.1065
AL,M,0.1065
AL,F,0.1065
CQ,M,0.1065
CQ,M,0.1065
CQ,M,0.1065
AG,M,0.1066
AG,M,0.1066
AG,F,0.1066
AG,M,0.1066
AL,M,0.1066
CQ,M,0.1066
AG,M,0.1067
AG,M,0.1067
AG,M,0.1067
AG,F,0.1067
AG,M,0.1067
AG,M,0.1067
AL,F,0.1067
CQ,M,0.1067
CQ,M,0.1067
CQ,M,0.1067
AG,F,0.1068
AG,F,0.1068
AG,M,0.1068
AG,F,0.1068
AG,F,0.1068
AL,M,0.1068
AL,F,0.1068
AL,F,0.1068
AL,M,0.1068
AL,F,0.1068
AL,F,0.1068
CQ,F,0.1068
CQ,F,0.1068
CQ,M,0.1068
AG,M,0.1069
AG,M,0.1069
AG,F,0.1069
AG,M,0.1069
AG,M,0.1069
AG,M,0.1069
AG,M,0.1069
AG,F,0.1069
AG,F,0.1069
AL,M,0.1069
AL,F,0.1069
AL,F,0.1069
AL,M,0.1069
AL,M,0.1069
AG,F,0.107
AG,F,0.107
AL,M,0.107
AL,M,0.107
AL,M,0.107
CQ,M,0.107
AG,M,0.1071
AG,F,0.1071
AG,M,0.1071
AG,M,0.1071
AL,M,0.1071
AL,M,0.1071
AL,F,0.1071
AL,M,0.1071
AG,M,0.1072
AG,F,0.1072
AG,M,0.1072
AG,F,0.1072
AG,F,0.1072
AL,M,0.1072
CQ,M,0.1072
CQ,F,0.1072
CQ,F,0.1072
CQ,F,0.1072
CQ,F,0.1072
CQ,M,0.1072
AG,M,0.1073
AG,F,0.1073
AG,F,0.1073
AL,F,0.1073
AL,M,0.1073
AL,M,0.1073
CQ,F,0.1073
AG,F,0.1074
AG,M,0.1074
AG,M,0.1074
AG,F,0.1074
AL,M,0.1074
AL,M,0.1074
AL,M,0.1074
AL,M,0.1074
AL,M,0.1074
AL,F,0.1074
AL,M,0.1074
CQ,F,0.1074
CQ,F,0.1074
CQ,M,0.1074
AG,M,0.1075
AL,M,0.1075
AL,M,0.1075
CQ,M,0.1075
AG,F,0.1076
AG,M,0.1076
AG,M,0.1076
AL,M,0.1076
AL,M,0.1076
AL,F,0.1076
AL,M,0.1076
CQ,F,0.1076
CQ,F,0.1076
AG,M,0.1077
AG,F,0.1077
AG,F,0.1077
AG,M,0.1077
AL,F,0.1077
AL,F,0.1077
AL,F,0.1077
AL,M,0.1077
AL,M,0.1077
AL,M,0.1077
AL,M,0.1077
AL,M,0.1077
CQ,M,0.1077
CQ,F,0.1077
CQ,M,0.1077
AG,M,0.1078
AG,F,0.1078
AG,M,0.1078
AG,F,0.1078
AG,M,0.1078
AL,M,0.1078
AL,F,0.1078
AL,M,0.1078
AL,F,0.1078
AL,M,0.1078
AL,F,0.1078
AL,M,0.1078
AG,M,0.1079
AG,F,0.1079
AL,M,0.1079
AL,M,0.1079
AL,M,0.1079
CQ,M,0.1079
AG,F,0.108
AG,F,0.108
AG,M,0.108
AG,F,0.108
AG,M,0.108
AL,M,0.108
AL,M,0.108
AL,M,0.108
AL,M,0.108
AL,M,0.108
AL,M,0.108
AL,M,0.108
AG,F,0.1081
AG,M,0.1081
AG,M,0.1081
AL,F,0.1081
AL,M,0.1081
AL,M,0.1081
AG,M,0.1082
AG,M,0.1082
AG,M,0.1082
AG,M,0.1082
AG,F,0.1082
AG,F,0.1082
AG,F,0.1082
AG,M,0.1082
AL,F,0.1082
AL,F,0.1082
AL,M,0.1082
CQ,M,0.1082
CQ,M,0.1082
AG,F,0.1083
AG,M,0.1083
AG,M,0.1083
AG,F,0.1083
AG,M,0.1083
AL,F,0.1083
AL,F,0.1083
AL,M,0.1083
AL,F,0.1083
AG,M,0.1084
AG,F,0.1084
AG,F,0.1084
AG,M,0.1084
AG,M,0.1084
AG,M,0.1084
AL,M,0.1084
AL,F,0.1084
AL,M,0.1084
AL,M,0.1084
AL,M,0.1084
CQ,M,0.1084
CQ,M,0.1084
CQ,M,0.1084
CQ,F,0.1084
AG,M,0.1085
AG,M,0.1085
AG,M,0.1085
AL,M,0.1085
AL,M,0.1085
AL,F,0.1085
CQ,F,0.1085
CQ,UNK,0.1085
AG,F,0.1086
AG,M,0.1086
AG,F,0.1086
AG,M,0.1086
AG,F,0.1086
AG,M,0.1086
AL,F,0.1086
AL,M,0.1086
AL,M,0.1086
AL,F,0.1086
AL,M,0.1086
AL,M,0.1086
CQ,M,0.1086
CQ,F,0.1086
AG,F,0.1087
AG,F,0.1087
AL,M,0.1087
AL,F,0.1087
AL,M,0.1087
CQ,M,0.1087
CQ,M,0.1087
AL,M,0.1088
AL,F,0.1088
AL,M,0.1088
AL,M,0.1088
CQ,F,0.1088
AG,M,0.1089
AG,M,0.1089
AG,F,0.1089
AG,F,0.1089
AG,M,0.1089
AG,M,0.1089
AL,F,0.1089
AL,F,0.1089
CQ,M,0.1089
AG,F,0.109
AG,M,0.109
AG,F,0.109
AG,M,0.109
AG,M,0.109
AL,F,0.109
AL,M,0.109
AG,M,0.1091
AG,M,0.1091
AG,F,0.1091
AG,M,0.1091
AG,F,0.1091
AG,M,0.1091
AG,F,0.1091
AG,M,0.1091
AG,M,0.1091
AG,M,0.1091
AL,M,0.1091
AL,M,0.1091
AL,F,0.1091
AL,F,0.1091
CQ,F,0.1091
AG,F,0.1092
AG,M,0.1092
AG,M,0.1092
AG,M,0.1092
AG,F,0.1092
AG,M,0.1092
AG,F,0.1092
AG,F,0.1092
AL,M,0.1092
AL,M,0.1092
AL,M,0.1092
AL,M,0.1092
CQ,M,0.1092
CQ,F,0.1092
AG,M,0.1093
AG,F,0.1093
AG,M,0.1093
AG,M,0.1093
AG,F,0.1093
AG,M,0.1093
AG,F,0.1093
AL,F,0.1093
AL,M,0.1093
AL,F,0.1093
AL,M,0.1093
AL,M,0.1093
AL,M,0.1093
AL,M,0.1093
CQ,M,0.1093
CQ,M,0.1093
CQ,M,0.1093
CQ,M,0.1093
AG,F,0.1094
AG,M,0.1094
AG,M,0.1094
AG,M,0.1094
AG,M,0.1094
AG,F,0.1094
AL,F,0.1094
AL,M,0.1094
CQ,M,0.1094
AG,F,0.1095
AL,F,0.1095
AL,F,0.1095
AL,M,0.1095
AL,F,0.1095
AL,M,0.1095
AL,M,0.1095
CQ,M,0.1095
AG,M,0.1096
AG,F,0.1096
AG,M,0.1096
AG,F,0.1096
AG,F,0.1096
AL,M,0.1096
AL,M,0.1096
AL,M,0.1096
CQ,F,0.1096
CQ,M,0.1096
AG,M,0.1097
AG,M,0.1097
AG,F,0.1097
AG,M,0.1097
AG,M,0.1097
AG,M,0.1097
AL,F,0.1097
AL,M,0.1097
AL,M,0.1097
AL,M,0.1097
AL,M,0.1097
CQ,F,0.1097
CQ,M,0.1097
AG,M,0.1098
AG,F,0.1098
AG,F,0.1098
AL,M,0.1098
AL,M,0.1098
AL,M,0.1098
AL,M,0.1098
CQ,F,0.1098
AG,F,0.1099
AG,F,0.1099
AG,F,0.1099
AG,M,0.1099
AL,F,0.1099
AL,F,0.1099
AL,F,0.1099
CQ,F,0.1099
CQ,M,0.1099
CQ,M,0.1099
AG,F,0.11
AG,F,0.11
AG,M,0.11
AG,F,0.11
AL,F,0.11
AL,M,0.11
CQ,M,0.11
CQ,F,0.11
CQ,M,0.11
AG,F,0.1101
AG,F,0.1101
AG,M,0.1101
AG,M,0.1101
AG,F,0.1101
AG,F,0.1101
AL,M,0.1101
AL,F,0.1101
AL,M,0.1101
AL,M,0.1101
AL,M,0.1101
CQ,M,0.1101
AG,M,0.1102
AG,F,0.1102
AG,F,0.1102
AG,M,0.1102
AG,F,0.1102
AG,M,0.1102
AL,M,0.1102
AL,M,0.1102
AG,M,0.1103
AG,F,0.1103
AG,M,0.1103
AG,M,0.1103
AL,M,0.1103
AL,F,0.1103
AL,M,0.1103
AL,M,0.1103
AL,F,0.1103
CQ,M,0.1103
CQ,F,0.1103
CQ,M,0.1103
AG,M,0.1104
AG,M,0.1104
AL,M,0.1104
AL,M,0.1104
AL,M,0.1104
AL,M,0.1104
AL,M,0.1104
CQ,F,0.1104
AG,M,0.1105
AG,F,0.1105
AL,M,0.1105
AL,M,0.1105
AL,F,0.1105
AL,M,0.1105
CQ,F,0.1105
CQ,M,0.1105
CQ,F,0.1105
AG,F,0.1106
