Species,Sex,Abd_length
AG,F,0.1106
AL,M,0.1106
AL,M,0.1106
AL,M,0.1106
AL,F,0.1106
AL,M,0.1106
AL,M,0.1106
CQ,F,0.1106
CQ,F,0.1106
CQ,M,0.1106
CQ,M,0.1106
CQ,M,0.1106
AG,F,0.1107
AG,F,0.1107
AG,F,0.1107
AL,M,0.1107
AL,M,0.1107
AL,M,0.1107
CQ,M,0.1107
AG,M,0.1108
AG,F,0.1108
AG,M,0.1108
AL,F,0.1108
AL,F,0.1108
CQ,M,0.1108
CQ,M,0.1108
AG,UNK,0.1109
AG,M,0.1109
AL,M,0.1109
AL,F,0.1109
AL,M,0.1109
AL,F,0.1109
AL,M,0.1109
AG,M,0.111
AG,F,0.111
AL,F,0.111
AG,F,0.1111
AL,F,0.1111
AL,F,0.1111
CQ,M,0.1111
CQ,M,0.1111
CQ,F,0.1111
CQ,M,0.1111
AG,M,0.1112
AL,M,0.1112
AL,M,0.1112
CQ,F,0.1112
CQ,F,0.1112
CQ,M,0.1112
AG,F,0.1113
AL,M,0.1113
AL,M,0.1113
CQ,M,0.1113
AG,M,0.1114
AG,F,0.1114
AG,F,0.1114
AG,F,0.1114
AG,M,0.1114
AG,M,0.1114
AL,F,0.1114
AL,M,0.1114
AL,M,0.1114
CQ,M,0.1114
CQ,M,0.1114
AG,M,0.1115
AG,M,0.1115
AG,M,0.1115
AG,M,0.1115
AG,F,0.1115
AL,M,0.1115
CQ,M,0.1115
AG,M,0.1116
AG,M,0.1116
AG,M,0.1116
AL,M,0.1116
AL,M,0.1116
AL,F,0.1116
AL,M,0.1116
AL,F,0.1116
AL,M,0.1116
CQ,M,0.1116
AG,M,0.1117
AG,M,0.1117
AG,M,0.1117
AG,M,0.1117
AL,M,0.1117
AL,M,0.1117
CQ,F,0.1117
AG,F,0.1118
AG,M,0.1118
AG,F,0.1118
AG,F,0.1118
AG,M,0.1118
AG,M,0.1118
AG,F,0.1118
AL,F,0.1118
AL,M,0.1118
CQ,UNK,0.1118
CQ,M,0.1118
CQ,M,0.1118
AG,F,0.1119
AL,F,0.1119
CQ,M,0.1119
AG,M,0.112
AG,F,0.112
AG,F,0.112
AG,F,0.112
AG,F,0.112
AG,F,0.112
AG,M,0.112
AL,M,0.112
AL,F,0.112
CQ,M,0.112
AG,M,0.1121
AG,M,0.1121
AG,M,0.1121
CQ,F,0.1121
CQ,F,0.1121
AG,M,0.1122
AG,M,0.1122
AG,F,0.1122
AG,M,0.1122
AG,M,0.1122
AG,M,0.1122
AG,F,0.1122
AL,M,0.1122
AL,F,0.1122
AL,M,0.1122
AL,M,0.1122
CQ,M,0.1122
CQ,M,0.1122
AG,M,0.1123
AL,M,0.1123
AL,M,0.1123
AL,M,0.1123
AL,M,0.1123
AL,M,0.1123
CQ,F,0.1123
CQ,M,0.1123
AG,M,0.1124
AG,F,0.1124
AG,F,0.1124
AG,F,0.1124
AG,M,0.1124
AG,F,0.1124
AL,M,0.1124
AL,F,0.1124
CQ,M,0.1124
AG,M,0.1125
AL,M,0.1125
AL,F,0.1125
AL,M,0.1125
CQ,M,0.1125
AG,F,0.1126
AG,F,0.1126
AG,F,0.1126
AG,F,0.1126
AL,F,0.1126
AL,F,0.1126
AL,M,0.1126
AL,M,0.1126
AL,M,0.1126
AG,M,0.1127
AG,M,0.1127
AL,F,0.1127
AL,M,0.1127
CQ,M,0.1127
CQ,M,0.1127
AG,F,0.1128
AG,F,0.1128
AG,M,0.1128
AG,M,0.1128
AL,M,0.1128
AL,F,0.1128
AL,M,0.1128
AL,M,0.1128
AL,M,0.1128
AL,M,0.1128
CQ,M,0.1128
CQ,M,0.1128
AG,F,0.1129
AG,M,0.1129
AG,F,0.1129
AL,F,0.1129
CQ,M,0.1129
CQ,F,0.1129
CQ,M,0.1129
AG,F,0.113
AG,F,0.113
AG,F,0.113
AG,F,0.113
AG,M,0.113
AG,M,0.113
AL,M,0.113
AL,M,0.113
AL,F,0.113
CQ,M,0.113
CQ,M,0.113
AG,M,0.1131
AG,F,0.1131
AL,M,0.1131
AL,F,0.1131
AL,F,0.1131
AL,M,0.1131
CQ,M,0.1131
AG,F,0.1132
AG,F,0.1132
AG,M,0.1132
AG,M,0.1132
AL,F,0.1132
CQ,M,0.1132
CQ,M,0.1132
CQ,M,0.1132
CQ,F,0.1132
AG,M,0.1133
AG,F,0.1133
AG,F,0.1133
AL,F,0.1133
AL,M,0.1133
AL,M,0.1133
CQ,F,0.1133
CQ,F,0.1133
CQ,M,0.1133
AG,M,0.1134
AG,M,0.1134
AG,M,0.1134
AL,M,0.1134
CQ,F,0.1134
AG,F,0.1135
AG,M,0.1135
AG,M,0.1135
AG,M,0.1135
AG,M,0.1135
AL,M,0.1135
AL,F,0.1135
AL,M,0.1135
AL,M,0.1135
AL,M,0.1135
CQ,M,0.1135
AG,F,0.1136
AG,M,0.1136
AG,F,0.1136
AL,F,0.1136
AL,F,0.1136
AL,M,0.1136
CQ,F,0.1136
CQ,M,0.1136
CQ,M,0.1136
AG,M,0.1137
AG,F,0.1137
AL,M,0.1137
AL,M,0.1137
AL,F,0.1137
AG,M,0.1138
AG,F,0.1138
AG,M,0.1138
AG,M,0.1138
AG,M,0.1138
AL,M,0.1138
AL,F,0.1138
AL,M,0.1138
CQ,M,0.1138
CQ,M,0.1138
AG,F,0.1139
AG,F,0.1139
AG,M,0.1139
AL,M,0.1139
AL,F,0.1139
AL,F,0.1139
AL,M,0.1139
CQ,F,0.1139
CQ,M,0.1139
CQ,M,0.1139
AG,M,0.114
AG,M,0.114
AL,F,0.114
AL,M,0.114
CQ,M,0.114
AG,F,0.1141
AL,M,0.1141
AL,M,0.1141
CQ,M,0.1141
CQ,M,0.1141
AG,M,0.1142
AG,F,0.1142
AG,F,0.1142
AL,M,0.1142
AL,F,0.1142
AL,F,0.1142
AG,M,0.1143
AG,F,0.1143
AG,M,0.1143
AG,F,0.1143
AG,M,0.1143
AL,M,0.1143
AL,M,0.1143
AL,M,0.1143
AG,M,0.1144
AG,F,0.1144
AG,F,0.1145
AG,M,0.1145
AG,F,0.1145
AG,M,0.1145
AL,F,0.1145
AL,M,0.1145
AL,F,0.1145
AL,M,0.1145
CQ,M,0.1145
AG,M,0.1146
AG,M,0.1146
AG,F,0.1146
AG,F,0.1146
AG,M,0.1146
AG,F,0.1146
AL,F,0.1146
AL,M,0.1146
AL,F,0.1146
AL,M,0.1146
AG,F,0.1147
AG,F,0.1147
AG,M,0.1147
AG,M,0.1147
AL,M,0.1147
AL,M,0.1147
AL,M,0.1147
CQ,M,0.1147
CQ,F,0.1147
AG,M,0.1148
AG,M,0.1148
AG,M,0.1148
AG,F,0.1148
AL,F,0.1148
CQ,M,0.1148
AG,M,0.1149
AG,F,0.1149
AG,M,0.1149
AG,M,0.1149
AG,F,0.1149
AG,F,0.1149
AL,F,0.1149
AL,M,0.1149
AL,M,0.1149
AL,M,0.1149
CQ,F,0.1149
CQ,M,0.1149
AG,F,0.115
AG,F,0.115
AG,F,0.115
AG,F,0.115
AG,M,0.115
AG,F,0.115
AL,M,0.115
AL,F,0.115
AG,M,0.1151
AG,F,0.1151
AG,M,0.1151
AG,F,0.1151
AG,M,0.1151
AL,M,0.1151
AL,F,0.1151
AL,M,0.1151
CQ,F,0.1151
CQ,F,0.1151
CQ,M,0.1151
AG,F,0.1152
AL,F,0.1152
AL,M,0.1152
AL,M,0.1152
CQ,M,0.1152
AG,F,0.1153
AG,M,0.1153
AG,F,0.1153
AG,F,0.1153
AL,F,0.1153
AL,M,0.1153
AL,F,0.1153
AL,F,0.1153
CQ,F,0.1153
AG,M,0.1154
AG,F,0.1154
AG,F,0.1154
AG,F,0.1154
CQ,M,0.1154
AG,M,0.1155
AG,M,0.1155
AG,F,0.1155
AG,F,0.1155
AG,M,0.1155
AG,F,0.1155
AG,F,0.1155
AL,M,0.1155
AL,M,0.1155
AL,M,0.1155
AL,M,0.1155
CQ,M,0.1155
AG,M,0.1156
AG,F,0.1156
AG,M,0.1156
AG,F,0.1156
AL,F,0.1156
AL,M,0.1156
AL,M,0.1156
AL,M,0.1156
AL,F,0.1156
CQ,M,0.1156
AG,M,0.1157
AG,F,0.1157
AG,F,0.1157
AL,M,0.1157
AL,M,0.1157
CQ,M,0.1157
AG,F,0.1158
AG,F,0.1158
AL,F,0.1158
AL,F,0.1158
AL,F,0.1158
CQ,M,0.1158
CQ,M,0.1158
CQ,M,0.1158
AG,F,0.1159
AG,M,0.1159
AG,F,0.1159
AG,M,0.1159
AL,M,0.1159
CQ,M,0.1159
CQ,M,0.1159
AG,M,0.116
AG,F,0.116
AG,M,0.116
AG,F,0.116
AG,F,0.116
AG,F,0.116
AG,F,0.116
AL,M,0.116
CQ,M,0.116
AG,F,0.1161
AG,M,0.1161
AG,F,0.1161
AG,F,0.1161
AG,F,0.1161
CQ,F,0.1161
AG,M,0.1162
AG,M,0.1162
AG,M,0.1162
AG,F,0.1162
AG,F,0.1162
AG,F,0.1162
AG,F,0.1162
AL,F,0.1162
AL,F,0.1162
AL,F,0.1162
AG,F,0.1163
AG,M,0.1163
CQ,F,0.1163
AG,M,0.1164
AG,M,0.1164
AG,M,0.1164
AL,M,0.1164
AL,F,0.1164
AL,F,0.1164
CQ,M,0.1164
AG,M,0.1165
AG,F,0.1165
AG,M,0.1165
AG,F,0.1165
AG,F,0.1165
AG,F,0.1165
AG,M,0.1165
AG,M,0.1165
AG,M,0.1165
CQ,M,0.1165
CQ,F,0.1165
AG,F,0.1166
AG,F,0.1166
AG,F,0.1166
AL,M,0.1166
AL,M,0.1166
AL,F,0.1166
AL,M,0.1166
AL,F,0.1166
CQ,F,0.1166
AG,F,0.1167
AG,M,0.1167
AG,M,0.1167
AG,M,0.1167
AL,M,0.1167
AL,F,0.1167
CQ,F,0.1167
AG,F,0.1168
AL,M,0.1168
AL,F,0.1168
AL,M,0.1168
AL,F,0.1168
CQ,M,0.1168
AG,M,0.1169
AL,F,0.1169
AL,F,0.1169
AG,F,0.117
AG,F,0.117
AG,F,0.117
CQ,M,0.117
CQ,M,0.117
CQ,M,0.117
CQ,M,0.117
CQ,M,0.117
AG,F,0.1171
AG,F,0.1171
AL,M,0.1171
CQ,M,0.1171
AG,M,0.1172
AG,F,0.1172
AG,M,0.1172
AG,F,0.1172
AL,M,0.1172
AL,F,0.1172
CQ,F,0.1172
AG,M,0.1173
AL,F,0.1173
CQ,M,0.1173
CQ,F,0.1173
CQ,M,0.1173
AG,F,0.1174
AG,M,0.1174
AL,F,0.1174
AL,M,0.1174
CQ,F,0.1174
CQ,F,0.1174
AG,M,0.1175
AG,F,0.1175
AG,M,0.1175
AG,F,0.1175
AG,M,0.1175
AL,M,0.1175
AL,M,0.1175
CQ,M,0.1175
AG,M,0.1176
AG,F,0.1176
AG,F,0.1176
AL,F,0.1176
AL,M,0.1176
CQ,F,0.1176
CQ,M,0.1176
AG,F,0.1177
AG,M,0.1177
AG,F,0.1177
AL,M,0.1177
AL,M,0.1177
AL,M,0.1177
CQ,M,0.1177
AG,F,0.1178
AG,M,0.1178
AG,M,0.1178
AG,F,0.1178
AL,F,0.1178
AL,F,0.1178
CQ,F,0.1178
AG,M,0.1179
AG,M,0.1179
AG,M,0.1179
AL,M,0.1179
AL,M,0.1179
AL,M,0.118
CQ,M,0.118
CQ,M,0.118
CQ,F,0.118
AG,M,0.1181
AL,F,0.1181
AG,M,0.1182
AG,M,0.1182
AG,F,0.1182
AG,F,0.1182
CQ,M,0.1182
AG,M,0.1183
AL,F,0.1183
CQ,F,0.1183
CQ,F,0.1183
AG,M,0.1184
AL,F,0.1184
AL,F,0.1184
AG,M,0.1185
AG,M,0.1185
AG,F,0.1185
AG,F,0.1185
AL,F,0.1185
AL,F,0.1185
AG,M,0.1186
AG,F,0.1186
AG,M,0.1186
AL,M,0.1186
AL,F,0.1186
CQ,M,0.1186
CQ,M,0.1186
CQ,F,0.1186
CQ,M,0.1186
AG,M,0.1187
AG,F,0.1187
AG,F,0.1187
AG,M,0.1187
CQ,F,0.1187
CQ,F,0.1187
AG,F,0.1188
AG,M,0.1188
AL,UNK,0.1188
CQ,F,0.1188
CQ,M,0.1188
AG,M,0.1189
AG,M,0.1189
AG,M,0.1189
AG,M,0.1189
AG,F,0.1189
AG,M,0.1189
CQ,M,0.1189
CQ,F,0.1189
CQ,M,0.1189
AG,UNK,0.119
AG,F,0.119
AG,F,0.119
AG,F,0.119
AG,F,0.119
AL,M,0.119
AL,M,0.119
AL,M,0.119
AG,M,0.1191
AG,F,0.1191
AG,F,0.1191
AL,F,0.1191
AL,M,0.1191
CQ,M,0.1191
AG,F,0.1192
AG,M,0.1192
AG,M,0.1192
AL,F,0.1192
CQ,M,0.1192
AG,M,0.1194
AG,F,0.1194
AG,F,0.1194
AL,F,0.1194
AL,M,0.1194
CQ,M,0.1194
CQ,M,0.1194
AL,M,0.1195
AL,F,0.1195
CQ,F,0.1195
CQ,M,0.1195
AG,M,0.1196
AG,F,0.1196
AL,M,0.1196
AL,M,0.1196
CQ,M,0.1196
AG,M,0.1197
AG,F,0.1197
AG,F,0.1197
CQ,M,0.1197
CQ,M,0.1197
AG,F,0.1198
AG,F,0.1198
AL,M,0.1198
AL,M,0.1198
AG,F,0.1199
AG,F,0.1199
CQ,F,0.1199
AG,F,0.12
AG,F,0.12
AG,F,0.12
AG,F,0.12
AG,F,0.12
AG,F,0.1201
AG,F,0.1201
AL,F,0.1201
AG,F,0.1202
AG,F,0.1202
AG,F,0.1202
AG,F,0.1202
AL,F,0.1202
CQ,M,0.1202
AG,M,0.1203
AG,M,0.1203
CQ,F,0.1203
CQ,M,0.1203
AG,F,0.1204
AG,F,0.1204
CQ,F,0.1204
CQ,M,0.1204
AG,F,0.1205
AG,F,0.1205
AG,F,0.1205
AL,M,0.1205
AG,F,0.1206
AG,F,0.1206
CQ,M,0.1206
AG,M,0.1207
AG,F,0.1207
CQ,M,0.1207
CQ,M,0.1207
AL,M,0.1208
AL,F,0.1208
AL,F,0.1208
CQ,M,0.1208
AG,F,0.1209
AL,M,0.1209
CQ,M,0.1209
CQ,M,0.1209
AG,F,0.121
AL,M,0.121
AL,M,0.121
CQ,M,0.121
CQ,M,0.121
AG,M,0.1211
AG,F,0.1211
AL,F,0.1211
AL,M,0.1211
AG,F,0.1212
CQ,F,0.1212
AG,M,0.1213
AL,M,0.1213
AL,M,0.1213
AL,M,0.1213
CQ,F,0.1213
CQ,F,0.1214
CQ,M,0.1214
AG,F,0.1215
AG,F,0.1215
AL,F,0.1215
AL,M,0.1215
CQ,F,0.1215
CQ,F,0.1215
CQ,M,0.1215
CQ,M,0.1215
CQ,M,0.1215
CQ,M,0.1215
CQ,F,0.1215
CQ,M,0.1215
AG,F,0.1216
CQ,M,0.1216
CQ,F,0.1216
AG,M,0.1217
AG,M,0.1217
AG,F,0.1217
AG,M,0.1217
AG,F,0.1217
AL,F,0.1217
CQ,M,0.1217
CQ,M,0.1217
AG,M,0.1218
AG,F,0.1218
AG,F,0.1218
AG,F,0.1218
AG,F,0.1218
AG,F,0.1218
AL,F,0.1218
AL,F,0.1218
CQ,F,0.1218
CQ,M,0.1218
CQ,M,0.1218
AG,M,0.1219
AG,F,0.1219
AG,M,0.1219
AG,F,0.1219
AG,M,0.122
AG,F,0.122
CQ,F,0.122
CQ,M,0.122
AG,F,0.1221
AL,F,0.1221
CQ,M,0.1221
AG,F,0.1222
AG,F,0.1222
AG,F,0.1222
CQ,M,0.1222
CQ,M,0.1222
CQ,M,0.1222
AL,F,0.1223
AG,F,0.1224
AG,M,0.1224
AG,F,0.1224
AG,F,0.1224
CQ,M,0.1224
AG,M,0.1225
AG,F,0.1225
AG,M,0.1225
AL,F,0.1225
CQ,F,0.1225
CQ,M,0.1225
CQ,M,0.1225
AG,F,0.1226
AL,M,0.1226
CQ,F,0.1227
CQ,M,0.1227
CQ,M,0.1227
AG,F,0.1228
AG,F,0.1228
AG,F,0.1228
AG,F,0.1228
AG,F,0.1228
AG,M,0.1229
AG,F,0.1229
AG,F,0.1229
AG,F,0.1229
AG,F,0.1229
AL,F,0.1229
AG,F,0.123
AG,F,0.123
AG,M,0.1231
AG,F,0.1231
AL,F,0.1231
CQ,M,0.1231
CQ,M,0.1231
CQ,M,0.1231
AG,F,0.1232
AL,F,0.1232
CQ,M,0.1232
CQ,M,0.1233
CQ,M,0.1233
CQ,F,0.1234
CQ,UNK,0.1234
AL,F,0.1235
AL,F,0.1235
AL,F,0.1235
CQ,M,0.1235
AG,M,0.1236
AG,F,0.1236
CQ,F,0.1236
CQ,M,0.1236
CQ,M,0.1236
AG,M,0.1237
AG,F,0.1237
AL,F,0.1237
CQ,F,0.1237
CQ,M,0.1237
AG,F,0.1238
AL,F,0.1238
CQ,UNK,0.1238
AG,M,0.1239
CQ,F,0.1239
AG,F,0.124
AG,F,0.124
AG,F,0.124
AG,F,0.124
CQ,M,0.124
CQ,M,0.124
AG,F,0.1241
AG,F,0.1241
AL,M,0.1241
AL,F,0.1241
CQ,F,0.1241
AG,F,0.1242
AG,F,0.1242
CQ,M,0.1242
AG,F,0.1243
AG,F,0.1243
AL,M,0.1243
CQ,M,0.1243
AG,F,0.1244
AG,F,0.1244
CQ,F,0.1244
AG,F,0.1245
AG,F,0.1246
AG,F,0.1247
AG,F,0.1247
CQ,M,0.1247
AG,F,0.1249
CQ,F,0.1249
CQ,M,0.1249
AG,F,0.125
AG,F,0.125
CQ,M,0.125
AG,F,0.1251
AG,F,0.1251
AL,M,0.1251
CQ,M,0.1251
CQ,F,0.1251
CQ,M,0.1251
AG,F,0.1252
AL,M,0.1252
AL,M,0.1252
AL,F,0.1252
AL,F,0.1252
AL,F,0.1252
AL,F,0.1252
CQ,M,0.1252
CQ,F,0.1252
AG,F,0.1253
AL,F,0.1253
CQ,M,0.1254
AL,F,0.1255
CQ,M,0.1255
CQ,F,0.1255
CQ,F,0.1255
AG,F,0.1256
AG,F,0.1256
CQ,F,0.1256
AL,F,0.1257
CQ,M,0.1257
CQ,M,0.1257
AG,F,0.1258
CQ,F,0.1258
CQ,F,0.1258
CQ,M,0.1258
AG,F,0.1259
AL,F,0.1259
AL,F,0.1259
CQ,M,0.1259
CQ,F,0.1259
AG,F,0.126
AG,F,0.126
AG,F,0.126
AG,F,0.126
CQ,M,0.126
CQ,M,0.126
AG,F,0.1261
AG,F,0.1261
CQ,M,0.1261
AL,F,0.1262
CQ,F,0.1262
CQ,F,0.1263
CQ,F,0.1263
CQ,M,0.1263
AG,F,0.1264
AG,F,0.1264
AG,F,0.1264
AG,F,0.1264
AG,F,0.1264
CQ,M,0.1264
CQ,M,0.1264
AG,F,0.1265
CQ,M,0.1265
AG,F,0.1266
CQ,M,0.1266
AG,F,0.1267
AG,F,0.1267
AL,F,0.1267
CQ,F,0.1267
CQ,F,0.1268
CQ,F,0.1268
AG,F,0.1269
AG,F,0.1269
AG,F,0.1269
AL,F,0.1269
CQ,M,0.1269
AG,F,0.127
CQ,M,0.127
CQ,M,0.127
AG,F,0.1271
AG,F,0.1271
AG,F,0.1271
AL,F,0.1271
CQ,M,0.1271
AG,F,0.1272
AG,F,0.1273
AG,F,0.1273
AG,F,0.1273
AL,F,0.1273
CQ,M,0.1273
AG,F,0.1275
CQ,UNK,0.1275
CQ,M,0.1275
CQ,F,0.1275
AG,F,0.1276
CQ,F,0.1276
AG,F,0.1277
AG,F,0.1278
CQ,M,0.1278
AG,F,0.1279
AG,F,0.1279
CQ,M,0.1279
CQ,M,0.1279
AG,F,0.128
CQ,M,0.128
CQ,M,0.128
AG,F,0.1281
AG,F,0.1281
AG,F,0.1281
CQ,M,0.1281
AG,F,0.1282
AG,F,0.1282
AL,F,0.1283
CQ,M,0.1283
AG,F,0.1284
CQ,M,0.1284
CQ,M,0.1285
CQ,F,0.1285
CQ,M,0.1285
AG,F,0.1286
AG,F,0.1286
AG,F,0.1286
AG,F,0.1286
CQ,M,0.1286
CQ,F,0.1286
AG,F,0.1287
CQ,M,0.1287
CQ,M,0.1287
AG,F,0.1288
CQ,UNK,0.1288
CQ,M,0.1288
AG,F,0.1289
CQ,M,0.1289
CQ,F,0.1289
CQ,F,0.1289
CQ,F,0.1289
AG,F,0.129
AG,F,0.129
AG,F,0.1291
AG,F,0.1291
AL,F,0.1291
CQ,M,0.1291
AG,F,0.1292
CQ,M,0.1292
AG,F,0.1293
CQ,M,0.1294
CQ,F,0.1295
AL,F,0.1297
CQ,F,0.1297
AG,F,0.1298
AG,F,0.1298
AG,F,0.1298
CQ,M,0.1299
AG,F,0.13
CQ,M,0.13
AG,F,0.1301
CQ,M,0.1302
CQ,M,0.1302
AG,F,0.1303
AG,F,0.1304
CQ,M,0.1304
CQ,M,0.1304
AG,F,0.1305
AG,F,0.1305
AG,F,0.1305
AG,F,0.1305
AG,F,0.1305
AG,F,0.1306
AG,F,0.1307
CQ,M,0.1307
AG,F,0.1308
AG,F,0.1308
AG,F,0.1308
CQ,M,0.1309
CQ,M,0.131
CQ,M,0.1311
CQ,M,0.1311
AG,F,0.1312
AG,F,0.1312
AG,F,0.1312
AG,F,0.1312
CQ,F,0.1313
AG,F,0.1314
AG,F,0.1314
CQ,M,0.1314
CQ,M,0.1314
CQ,M,0.1315
AG,F,0.1316
CQ,M,0.1316
CQ,M,0.1316
CQ,M,0.1316
CQ,F,0.1317
CQ,F,0.1317
CQ,M,0.1318
AG,F,0.1319
AG,F,0.1319
AG,F,0.132
CQ,F,0.1321
CQ,M,0.1322
CQ,M,0.1323
CQ,F,0.1323
AG,F,0.1324
AG,F,0.1324
CQ,F,0.1324
CQ,M,0.1324
CQ,F,0.1324
CQ,F,0.1324
CQ,M,0.1325
AG,F,0.1326
CQ,F,0.1327
CQ,M,0.1327
AG,F,0.1328
CQ,M,0.1328
AG,F,0.1329
AG,F,0.1329
CQ,M,0.1329
AG,F,0.133
AG,F,0.133
AG,F,0.1332
CQ,M,0.1332
AG,F,0.1333
CQ,M,0.1333
CQ,F,0.1333
AG,F,0.1334
AG,F,0.1334
CQ,M,0.1334
CQ,F,0.1334
AG,F,0.1336
CQ,M,0.1336
AG,F,0.1337
AG,F,0.1338
AG,F,0.1338
CQ,M,0.1339
CQ,M,0.1339
AG,F,0.134
CQ,M,0.134
CQ,F,0.134
AG,F,0.1341
CQ,M,0.1341
CQ,M,0.1341
AG,F,0.1342
CQ,M,0.1343
AG,F,0.1344
CQ,M,0.1344
CQ,F,0.1345
CQ,M,0.1345
AG,F,0.1346
AG,F,0.1347
AG,F,0.1348
CQ,F,0.1348
CQ,M,0.1349
AG,F,0.135
AG,F,0.1351
AG,F,0.1351
AG,F,0.1351
AG,F,0.1352
CQ,M,0.1352
CQ,F,0.1352
CQ,M,0.1352
AG,F,0.1353
AG,F,0.1354
CQ,M,0.1354
AG,F,0.1355
AG,F,0.1356
CQ,M,0.1356
CQ,F,0.1356
AG,F,0.1357
CQ,M,0.1359
CQ,M,0.1359
CQ,M,0.136
AG,F,0.1361
CQ,F,0.1361
CQ,M,0.1361
CQ,M,0.1362
AG,F,0.1363
CQ,M,0.1363
CQ,F,0.1364
AG,F,0.1365
AG,F,0.1365
AG,F,0.1365
AG,F,0.1365
CQ,M,0.1367
CQ,M,0.1367
AG,F,0.1369
AG,F,0.1369
CQ,M,0.137
AG,F,0.1371
CQ,M,0.1371
CQ,M,0.1371
CQ,F,0.1371
CQ,M,0.1372
CQ,M,0.1372
CQ,M,0.1373
AG,F,0.1374
CQ,F,0.1374
AG,F,0.1378
CQ,M,0.1378
CQ,F,0.1378
CQ,M,0.138
CQ,M,0.1381
AG,F,0.1382
AG,F,0.1383
CQ,M,0.1383
CQ,M,0.1384
AG,F,0.1385
CQ,M,0.1385
CQ,M,0.1385
AG,F,0.1386
CQ,M,0.1387
CQ,M,0.1387
AG,F,0.139
AG,F,0.139
CQ,M,0.139
CQ,F,0.1391
CQ,M,0.1392
CQ,F,0.1392
CQ,F,0.1393
CQ,F,0.1395
CQ,M,0.1396
CQ,M,0.1397
CQ,F,0.1397
CQ,M,0.1399
CQ,M,0.1399
CQ,M,0.14
AG,F,0.1401
AG,F,0.1402
CQ,M,0.1402
CQ,UNK,0.1402
CQ,M,0.1404
CQ,M,0.1404
AG,F,0.1406
CQ,M,0.1406
AG,F,0.1407
AL,F,0.1407
CQ,M,0.1409
CQ,UNK,0.1409
AG,F,0.141
CQ,M,0.1411
CQ,M,0.1413
CQ,M,0.1417
CQ,M,0.1419
AG,F,0.1421
CQ,M,0.1422
CQ,M,0.1424
CQ,M,0.1427
AG,F,0.1431
CQ,M,0.1431
CQ,M,0.1434
AG,F,0.144
CQ,F,0.1441
CQ,M,0.1445
CQ,M,0.1448
AG,F,0.1449
CQ,M,0.1449
AG,F,0.1456
CQ,M,0.1457
CQ,M,0.1468
CQ,M,0.1473
CQ,F,0.1477
CQ,M,0.1503
CQ,F,0.1534
CQ,F,0.176
